CaseID,par_weight,teen_weight,xspanish,xprimelan,QS1,QS2,P1_A,P1_B,P1_C,P1_D,P1_E,P2_A,P2_B,P2_C,P2_D,P3,P4,P5,P6,P7_A,P7_B,P7_C,P8,P9,P10,P10_1,P11,P11_5,P12_A,P12_B,P12_C,P13_A,P13_B,P13_C,P13_D,P13_E,P14_F,P14_G,P14_H,P15_A,P15_B,P15_C,P15_D,P15_E,QS9,QS10_1,QS10_2,QS10_3,QS10_4,QS10_5,QS10_6,QS10_7,QS10_8,QS10_9,QS10_10,QS10_11,QS10_12,QS10_13,QS10_14,QS10_15,QS10_Refused,QS10_3_Specify,QS10_10_Specify,QS10_14_Specify,QS10_15_Specify,KINTMOB,K2,K3_A,K3_B,K3_C,K3_D,K3_E,K4,K5_A,K5_B,K5_C,K5_D,K5_E,K5_1_A,K5_1_B,K5_1_C,K6_1,K6_2,K6_3,K6_4,K6_5,K6_6,K6_7,K6_8,K7,K8,K8_Refused,KFB1A,KFB1B,KFB1C,K9,KF10_1,KF10_1_Specify,KF10_2,KF10_2_Specify,KF10_3,KF10_3_Specify,KFMEET,KFMEET2_1,KFMEET2_2,KFMEET2_3,KFMEET2_4,KFMEET2_5,KFMEET2_8,KFMEET2_Refused,KFMEET2_8_Specify,KFMEET3,KFR11_A,KFR11_B,KFR11_C,KFR11_D,KFR11_E,KFR11_F,KFR11_G,KFR11_H,KFR11_I,KGAME1,KGAME2,KGAME3_1,KGAME3_2,KGAME3_3,KGAME4,KGAME5_A,KGAME5_B,KGAME5_C,KGAME5_D,KF12,KF13_A,KF13_B,KF13_C,KF13_D,KF13_E,KF13_F,KF13_G,KF13_H,KF13_I,KF13_Specify,KF13_1,KF13_1_Specify,KF13_2,KF13_2_Specify,KF13_3,KF13_3_Specify,KFSNS1_A,KFSNS1_B,KFSNS1_C,KFSNS1_D,KFSNS1_E,KFSNS2_A,KFSNS2_B,KFSNS2_C,KFSNS2_D,KFSNS3_A,KFSNS3_B,KFSNS3_C,KF14,KFSNS4_A,KFSNS4_B,KFSNS4_C,KF15,KDATE1,DT1,DT1A,KR1,REL3,REL3_Refused,KR2,KDATE2_A,KDATE2_B,KDATE2_C,KDATE2_D,KDATE2_E,KDATE2_F,KDATE2_G,KDATE2_H,KDATE2_I,KDATE2_Specify,KR3_A,KR3_B,KR3_C,KR4_1,KR4_2,KR4_3,KR4_4,KR4_5,KR4_6,KR4_7,KR4_Refused,KR4_Specify,KR5,KR6_A,KR6_B,KR6_C,KR6_D,KR6_E,KR6_F,KR6_G,KR6_H,KR6_I,KR7_A,KR7_B,KR7_C,KR7_D,KR7_E,KR7_F,KR7_G,KR7_H,KR7_I,KR7_J,KR8,KR9,KRSNS1_A,KRSNS1_B,KRSNS1_C,KRSNS1_D,KRSNS2_A,KRSNS2_B,KRSNS2_C,KRSNS2_D,KRSNS2_E,KRSNS3_A,KRSNS3_B,KRSNS3_C,REL8_A,REL8_B,REL8_C,REL8_D,REL8_E,KR10_1,KR10_2,KR10_3,KR10_4,KR10_5,KR10_6,KR11_A,KR11_B,KR11_C,KR11_D,KR11_E,KR11_F,KR11_G,KR11_H,KR11_I,KR11_J,KR11_K,KR11_Refused,KR11_Specify,KR12_1,KR12_2,KR12_3,KR12_4,KR12_5,KR12_6,KR12_7,KR12_8,KR12_9,KR12_10,KR12_11,KR12_Refused,KR12_Specify,KR13_A,KR13_B,KR13_C,KR13_D,KR13_E,KR13_F,KRSNS4_A,KRSNS4_B,KRSNS4_C,KRCELL_D,KRCELL_E,DT2_A,DT2_B,DT2_C,DT2_D,DT2_E,DT2_F,DT2_G,DT2_H,DT2_I,DT4,DT4A,KRS,KSO,KSO_Specify,KTG,KEND,Teen_Ethn,Child_age,Child_gender,PPAGE,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,ppreg9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,PPNET
274,0.9641,0.6901,1,5,1,1,1,2,1,1,1,1,1,1,2,2,1,2, ,1,1,1,1,2,2, ,1, ,2,2,2,2,2,2,2,2,2,1,2,2,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,1,1,2,1,1,2,200,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1, , ,178,41,25,2,1, ,6, ,2, ,1, , , , , , , , , ,2,3,1,4,4,3,4,2,4,2,3,1,2,2,2,2,2,3,3,3,2,2,2,2,2,1,2,2,1,my house,6, ,1, ,7, ,1,3,2,1,2,2,1,3,3,2,1,1,1,2,1,2,1,1,2,2,1, , , ,1,1,1,1,2,1,2,1,2, ,1,1,1,0,1,0,0,0,0,0,0, ,1,2,4,1,3,4,4,4,3,4,1,1,1,1,1,2,1,2,2,1,2,6,2,3,2,2,2,1,2,2,2,1,1,2,1,2,1,1,1,10,10,1,9,6,10,0,1,0,0,0,0,0,0,0,0,0,0, ,0,1,0,0,0,0,0,0,0,0,0,0, ,1,2,2,2,2,2,2,2,1,2,2,1,3,3,2,3,3,3,3,3, , ,2,2, ,4,2,1,17,2,51,12,4,1,1,1,4,2,16,1,1,1,2,1,23,0,0,0,1,3,1,1
275,0.7183,0.5717,1,5,1,1,1,2,1,1,1,1,2,1,2,2,2,2, ,1,2,1,2, ,2, ,1, ,2,2,2,2,1,1,1,1,1,1,1,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,1,1,-1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1, , ,25, , ,2,-1, ,-1, ,-1, ,3,1,0,0,1,0,0,0, ,-1,4,4,2,2,3,2,4,2, , , , , , , , , , , ,3,2,2,2,1,2,2,2,2,2, ,1, ,-1, ,-1, ,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2, , , , , , ,2,2,2,2,2,2,2,2,2, ,2,2, ,1,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1,-1,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , ,2, ,4,2,1,14,2,48,9,2,1,1,1,4,1,4,6,1,1,2,1,23,0,0,0,1,3,6,1
276,1.4269,1.3898,1,5,1,1,1,2,1,1,2,2,2,1,2,2,1,2, ,2,2,1, , ,2, ,1, ,3,3,3,1,1,3,2,1,2,2,1,3,3,3,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,2,1,1,2,1,15,1,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2, , , , , , ,2,1, ,2, ,4, ,4,0,0,0,1,1,0,0, ,2,2,3,1,4,3,3,3, ,1,3,-1, , , , , , , , ,4,1,1,2,1,2,2,2,1,2, ,4, ,6, ,7, , , , , , , , , , , , , ,1,3,3,3,1,2, , , , , , , , ,1,2,2,2,2,1,2, ,2, , ,0,1,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,1,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,4,2,1,15,1,47,13,4,1,2,1,5,1,16,1,1,3,7,1,72,0,0,0,1,4,2,1
278,0.6729,0.6622,1,5,1,1,1,1,1,1,2,2,2,2,2,2,2,2, ,2,2,1, , ,2, ,2, ,3,2,2,2,2,3,2,2,2,2,2,1,1,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,1,1,1,1,40,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , ,4,1, ,6, ,2, ,1, , , , , , , , , ,1,3,1,4,4,1,4, , , , , , , , , , , , ,1,1,2,2,2,1,1,2,1,2, ,7, ,6, ,8,none, , , , , , , , , , , , ,2,3,3,3,2,2, , , , , , , , ,2,2,2,2,2,2,2, ,2, , ,0,1,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,10,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,4,2,1,17,2,50,9,2,1,2,1,3,1,9,1,1,3,6,3,61,0,0,0,1,2,1,1
279,0.9353,0.7469,1,5,1,1,1,2,1,1,2,1,2,1,1,4,2,2, ,1,2,1,1, ,2, ,1, ,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,2,1,1,2,2,20,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,7, ,-1,100, , ,2,1, ,3, ,6, ,3,1,0,0,0,0,0,0, ,1,2,3,1,2,3,4,3,2,4,4,3,1,1,1,2,3,1,3,3,1,1,2,2,1,2,2,1,1,2, ,6, ,1, ,7, ,2,3,1,3,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,1, , , ,1,1,1,1,2,2,1,1,2, ,2,2,2,0,1,0,0,0,1,0,0, ,2,2,3,2,3,3,4,2,4,4,2,2,2,2,1,2,1,2,2,1,3,4,3,3,3,3,3,2,3,1,2,2,1,2,2,2,1,1,2,8,10,10,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0, ,0,0,1,0,0,0,0,0,0,0,0,0, ,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3, , ,2,2, ,4,2,1,15,2,42,12,4,1,1,1,4,1,17,1,1,2,3,1,33,0,0,0,1,3,1,1
280, , ,1,5,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,55,9,2,1,2,1,4,3,11,1,1,2,3,2,31,0,0,0,1,3,1,1
281, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,54,12,4,1,1,1,3,1,17,1,1,2,4,1,41,0,0,1,0,2,1,1
282, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,46,10,3,1,2,1,6,1,16,1,1,4,8,1,87,0,0,0,2,4,1,1
283,1.0423,0.8323,1,5,1,1,1,2,1,1,1,2,2,1,2,4,1,2, ,1,1,1, ,2,2, ,1, ,2,2,2,2,2,2,2,1,2,2,2,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,1,1,200,1,1,1,2,1,2,2,1,1,1,1,2,1,1,2,2,5, , ,100,600,1000,1,3, ,1, ,4, ,3,1,0,0,0,0,0,0, ,2,1,2,1,3,3,4,3,2,4,5,5, , , , , , , , ,1,1,2,1,2,2,2,1,1,2, ,6, ,7, ,1, ,1,3,2,3,2,2,2,3,2,2,2,2,2,1,1,1,2,1,2,2,1, , , ,2,1,2,2,2,2,2,1,2, ,1,2,1,0,1,0,0,0,0,0,0, ,2,2,2,1,4,4,4,3,4,4,1,1,1,1,1,2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,2,2,1,1,1,10,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,1,0,0,0, ,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3, , ,2,2, ,4,2,1,15,2,43,13,4,1,2,1,4,1,19,1,1,2,4,1,44,0,0,1,1,2,1,1
284, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,39,12,4,1,1,1,4,1,13,1,1,1,2,1,21,1,0,0,1,2,1,1
285,3.0121,3.4422,2,3,2,2,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,1,1, ,2, ,2, ,1,1,1,1,1,1,1,1,2,2,1,4,4,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,1,1,20,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1, , ,100, , ,1,1, ,2, ,3, ,1, , , , , , , , , ,1,4,2,2,4,4,4,2, , , , , , , , , , , ,2,1,2,1,2,2,2,1,2,2, ,1, ,6, ,4, ,1,3,1,3,3,3,3,3,3,2,2,1,2,2,2,2,2,2, , , , , , ,1,1,2,2,2,2,2,1,2, ,1,2, ,0,1,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , ,2, ,4,2,4,17,1,41,9,2,4,2,0,4,1,13,1,0,4,8,1,86,0,0,1,1,2,4,1
286, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,51,14,4,1,2,1,4,1,19,1,1,2,3,1,34,0,0,1,1,2,7,1
287,0.5665,0.5518,1,5,1,1,2,1,1,2,2,2,2,2,2,2,1,2, ,1,2,1, , ,2, ,2, ,2,1,1,1,1,2,1,1,2,2,2,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,1,1,1,2,20,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,4, , ,37, , ,2,4, ,6, ,1, ,4,0,0,0,1,0,0,0, ,2,3,3,2,2,3,2,3,2,2,2,1,1,1,1,1,1,1,2,2,3,2,2,2,1,2,2,1,1,2, ,4, ,6, ,1, ,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2, , , , , , ,1,1,1,2,2,2,2,1,2, ,2,2, ,1,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,10,3,2,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , ,2, ,4,2,1,15,1,51,12,4,1,1,1,4,1,12,1,1,3,7,1,74,0,0,1,1,2,1,1
288,1.1927,0.9234,1,5,1,1,1,1,1,1,1,1,2,1,2,3,1,2, ,1,1,1,1,2,2, ,1, ,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,1,1,20,1,1,1,2,1,2,2,1,1,2,1,2,1,1,1,2,5, , ,175, ,150,2,1, ,6, ,3, ,2,1,0,0,0,0,0,0, ,2,3,3,2,4,4,3,4,3,4,5,5, , , , , , , , ,1,1,1,2,2,2,1,2,1,2, ,1, ,6, ,7, ,2,2,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1, , , ,1,1,1,1,2,2,2,1,2, ,1,2,2,0,0,0,0,0,1,0,0, ,1,2,1,1,4,4,4,3,3,4,1,1,1,2,1,2,1,2,1,1,2,2,3,3,3,2,3,3,2,2,3,2,2,1,2,1,1,2,1,5,10,8,7,3,1,0,1,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0, ,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3, , ,2,2, ,4,2,1,16,2,46,10,3,1,1,1,5,1,15,1,1,2,4,1,43,0,0,0,2,3,1,1
290,0.7915,1.447,1,5,2,2,1,2,2,1,1,1,2,1,2,2,1,2, ,3,2,1, , ,2, ,1, ,3,1,1,1,1,3,1,1,2,2,1,4,2,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,2,1,25,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , ,1,4, ,2, ,1, ,4,0,0,0,1,0,0,0, ,2,2,1,1,4,4,4,4, ,2,2,2,1,1,1,1,2,2,2,2,1,1,2,1,1,2,2,2,2,2, ,6, ,4, ,7, , , , , , , , , , , , , ,2,2,2,2,2,2, , , , , , , , ,2,1,2,2,2,1,2, ,2, , ,1,0,0,0,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,5,1,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,4,2,4,15,1,32,9,2,1,2,0,9,4,10,1,1,3,7,1,74,0,0,3,4,2,6,1
291, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40,9,2,1,1,1,2,4,11,1,0,4,8,2,81,0,0,0,0,2,1,1
292, , ,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,35,6,1,4,2,1,1,3,6,1,1,1,2,2,21,0,0,0,0,1,4,1
293,0.1904,0.1334,1,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,1, ,2,2, ,2, ,2,2,1,1,2,2,1,1,2,2,2,4,4,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,1,2,1,1,1,150,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,2,2, , ,400,20, ,2,3, ,1, ,5, ,3,1,0,0,1,1,0,0, ,2,2,1,1,1,3,2,3,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,1,1,2, ,7, ,1, ,4, ,2,2,3,2,2,2,1,3,3,2,1,1,2,1,2,1,1,1,2,1,1, , , ,1,1,1,1,2,2,2,1,2, ,1,2,1,0,1,0,0,0,0,0,0, ,2,3,2,1,2,3,4,3,4,3,1,2,1,1,1,1,2,2,2,1,1,1,3,3,3,3,2,2,2,3,3,2,1,2,1,1,1,1,2,4,10,8,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0, ,1,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,3,3, , ,1,2, ,4,2,4,17,1,54,9,2,4,2,1,4,1,7,3,1,3,7,2,74,0,0,0,2,2,1,1
294,2.0779,2.9858,1,5,2,2,1,1,1,1,1,2,2,1,2,2,1,2, ,1,1,2, ,2,2, ,1, ,2,1, ,1,1,1,1,1, , , ,4,4,2,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,2,2,2,1,1,1, ,1,1,1,2,1, , , ,1,2,1,1,1,2,1,2,7, , ,835, ,4622,2,3, ,1, ,7,Snapchat,4,0,0,1,0,0,0,0, ,1,1,4,1,1,2,4, ,2,3,5,5, , , , , , , , ,1,1,2,2,1,2,2,2,1,2, ,6, ,3, ,1, ,1,3,2,3,3,3,1,3,1,1,1,1,1,1,1,1,1,1,2,1,2,Instagram, ,2,2,1,1,1,1,2,1,1,2, ,2,2,2,0,0,0,0,0,1,0,0, ,2,2,3,1,2,3,4,4,3, ,1,1,1,1,1,1,1,2,1,1,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1, , ,1,10,7,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0, ,0,1,1,1,0,0,0,0,0,0,0,0, ,2,2,2,2,2,2,1,1,1, , ,3,3,3,1,1,3,1,1,1, , ,2,2, ,4,2,1,15,2,37,11,3,1,2,1,4,1,14,1,0,4,8,1,82,0,0,0,2,2,1,1
295,0.9358,0.696,1,5,1,1,2,1,2,1,2,1,2,2,2,2,1,1,2,1,2,2,1, ,2, ,2, ,1,1, ,2,1,1,1,1, , , ,4,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,3,2,2,1,2,1, ,1,2,1,2,2, , , ,1,2,2,2,1,2,2,2,1, , ,38, , ,1,2, ,3, ,6, ,3,1,0,0,0,0,0,0, ,2,2,2,2,2,4,2, ,2,4,2,5, , , , , , , , ,3,1,1,1,1,2,2,2,1,2, ,1, ,7, ,8,e-mail,2,3,3,3,3,3,3,3,2,2,2,2,2,1,1,2,2,2, , , , , , ,1,1,1,2,2,2,2,1,2, ,2,2, ,0,1,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,2, ,4,2,1,13,1,40,9,2,1,2,0,4,4,11,1,0,2,3,1,31,0,0,1,1,2,1,1
296, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,52,12,4,1,1,1,5,1,12,1,0,2,3,1,34,0,0,1,2,2,1,1
298,0.8493,0.5372,2,3,1,1,1,1,1,1,2,1,2,1,2,2,2,3, ,2,2,2, , ,2, ,5,En Persona,3,3, ,1,1,3,1,1, , , ,4,4,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,2,6,2,2,1,2,1, ,2,2,2,2,2, , , ,2,2,2,2,2,2,2,2, , , , , , ,4,1, ,2, ,7, ,1, , , , , , , , , ,4,4,4,4,4,4, , , , , , , , , , , , , ,7, , , , , , , , , , , , ,8, ,8, , , , , , , , , , , , , ,2, , , ,2,2, , , , , , , , ,2,2,2,2,2,2,2, ,2, , ,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,2,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2,2,4,13,2,43,5,1,4,1,1,5,1,2,1,1,3,7,1,74,1,0,1,1,2,6,1
299,2.9016,3.4422,1,1,2,2,1,2,1,1,1,1,2,1,2,2,2,2, ,1,2,2,1, ,2, ,5,"Call his name, when he is present",1,1, ,1,1,1,1,1, , , ,3,3,4,4,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,3,2,2,1,2,1, ,1,2,1,2,2, , , ,1,2,2,2,1,2,2,2,5, , ,-99, , ,2,2, ,6, ,4, ,1, , , , , , , , , ,2,3,4,2,4,3, ,3,3,2,4,1,2,2,2,1,2,3,3,2,1,2,1,1,2,1,1,1,2, ,8,snapchat,6, ,1, ,2,3,2,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2, , , , , , ,2,2,2,2,2,2,2,2,2, ,2,2, ,0,0,0,0,0,0,1,0,I dont ask people out, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , ,2, ,4,2,4,14,1,40,10,3,4,2,1,6,1,14,1,1,2,4,1,43,0,0,1,2,3,2,1
300, , ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,46,12,4,1,1,1,6,1,13,1,1,4,8,1,84,0,0,1,2,3,1,1
