ID,accbu_text,accbu_inperson,accbu_phone,accbu_sm,accbu_friend,accbu_smstatus,bu_phone,bu_inperson,bu_text,bu_sm,bu_email,bu_fbstatus,bu_smstatus,bu_image,bu_drift,bu_other,bu_never,dump_phone,dump_inperson,dump_text,Sex,Sexuality,Transgender,Child_Age,Child_Gen,Parent_Metro,Parent_Rent,Household_Size,Parent_Internet,Sexuality2,Child_Gen2,Transgender2,Parent_Metro2,Parent_Rent2,Parent_Internet2,bu_phone2,bu_inperson2,bu_text2,bu_sm2,bu_email2,bu_fbstatus2,bu_smstatus2,bu_image2,bu_drift2,bu_other2,bu_never2,dump_phone2,dump_inperson2,dump_text2
701,1.0,10.0,2.0,1.0,1.0,1.0, , , , , , , , , , , , , , , ,2,4,16.0,1,1.0,1.0,6.0,1.0,Straight,Male,No,Metro,Own,Yes,,,,,,,,,,,,,,
702,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,2.0,3.0,1.0,,,,Metro,Rent,Yes,,,,,,,,,,,,,,
703,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,5.0,0.0,,,,Metro,Own,No,,,,,,,,,,,,,,
704,5.0,1.0,1.0,5.0,5.0,5.0, , , , , , , , , , , , , , , ,2,4,15.0,1,1.0,2.0,4.0,1.0,Straight,Male,No,Metro,Rent,Yes,,,,,,,,,,,,,,
705,1.0,10.0,6.0,1.0,1.0,1.0, , , , , , , , , , , , , , , ,2,4,16.0,2,1.0,2.0,5.0,1.0,Straight,Female,No,Metro,Rent,Yes,,,,,,,,,,,,,,
707,1.0,10.0,9.0,1.0,1.0,1.0, , , , , , , , , , , , , , , ,2,4,14.0,1,1.0,1.0,4.0,1.0,Straight,Male,No,Metro,Own,Yes,,,,,,,,,,,,,,
709,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,2.0,6.0,0.0,,,,Metro,Rent,No,,,,,,,,,,,,,,
710,1.0,10.0,5.0,3.0,2.0,1.0, , , , , , , , , , , , , , , ,2,4,15.0,2,1.0,1.0,4.0,1.0,Straight,Female,No,Metro,Own,Yes,,,,,,,,,,,,,,
711,1.0,10.0,9.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,17.0,2,1.0,1.0,2.0,1.0,Straight,Female,No,Metro,Own,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
712,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,4.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
713,3.0,10.0,6.0,1.0,4.0,1.0, , , , , , , , , , , , , , , ,2,4,17.0,2,0.0,1.0,3.0,1.0,Straight,Female,No,Non-metro,Own,Yes,,,,,,,,,,,,,,
714,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,2,4,17.0,2,1.0,1.0,2.0,1.0,Straight,Female,No,Metro,Own,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No
715,4.0,10.0,7.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,17.0,1,1.0,3.0,6.0,1.0,Straight,Male,No,Metro,Neither,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
717,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,2.0,3.0,1.0,,,,Metro,Rent,Yes,,,,,,,,,,,,,,
718,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,2.0,4.0,1.0,,,,Metro,Rent,Yes,,,,,,,,,,,,,,
719,1.0,10.0,10.0,1.0,1.0,4.0, , , , , , , , , , , , , , , ,2,4,15.0,1,1.0,2.0,5.0,1.0,Straight,Male,No,Metro,Rent,Yes,,,,,,,,,,,,,,
720,1.0,10.0,2.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,5,4,15.0,1,1.0,1.0,3.0,1.0,Not sure,Male,No,Metro,Own,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
721,1.0,10.0,7.0,1.0,1.0,1.0, , , , , , , , , , , , , , , ,2,4,14.0,2,0.0,1.0,5.0,1.0,Straight,Female,No,Non-metro,Own,Yes,,,,,,,,,,,,,,
722,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,3.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
724,7.0,10.0,10.0,1.0,2.0,1.0, , , , , , , , , , , , , , , ,2,4,15.0,2,1.0,1.0,4.0,1.0,Straight,Female,No,Metro,Own,Yes,,,,,,,,,,,,,,
725,1.0,1.0,1.0,1.0,1.0,1.0, , , , , , , , , , , , , , , ,5,4,15.0,2,1.0,2.0,6.0,1.0,Not sure,Female,No,Metro,Rent,Yes,,,,,,,,,,,,,,
726,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,4.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
727,1.0,10.0,4.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,4,16.0,2,1.0,2.0,3.0,1.0,Straight,Female,No,Metro,Rent,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
728,,,,,,, , , , , , , , , , , , , , , , , ,, ,1.0,1.0,5.0,1.0,,,,Metro,Own,Yes,,,,,,,,,,,,,,
730,10.0,1.0,6.0,10.0,9.0,8.0, , , , , , , , , , , , , , , ,2,4,14.0,2,1.0,1.0,5.0,1.0,Straight,Female,No,Metro,Own,Yes,,,,,,,,,,,,,,
731,1.0,10.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,4,15.0,1,1.0,1.0,3.0,1.0,Straight,Male,No,Metro,Own,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
732,1.0,10.0,4.0,1.0,3.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,-1,4,14.0,1,1.0,1.0,3.0,1.0,,Male,No,Metro,Own,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
