CaseID,hear_frequency,hear_from_you_frequency,sm_feel_connected,sm_feel_closer,sm_feel_jealous,sm_show_care,sm_different,sm_authentic,sm_escape,sm_too_many,sm_support_rel_end,sm_track,sm_post_support,sm_post_affection,sm_findout_upset,closer_text,argument_resolve_text,sig_other_distracted_phone,text_while_together,breakup_text,breakup_inperson,breakup_phone,breakup_sm_message,breakup_friend,breakup_sm_status,brokenup_phonecall,brokenup_inperson,brokenup_text,brokenup_sm,brokenup_email,brokenup_fb_status,brokenup_sm_status,brokenup_image_post,brokenup_drift,brokenup_other,brokenup_never,beendumped_phone,beendumped_inperson,beendumped_text,beendumped_sm,beendumped_email,beendumped_fb_status,beendumped_sm_status,beendumped_image_post,beendumped_drift,beendumped_other,beendumped_never,large_num_texts,texts_pretending,accessed_mobile,modified_sm,sent_pictures_others,tracked_unknowing,blocked_ex,blocked_flirt,untagged_ex,removed_ex_number,blocked_ex_text,sig_other_checked_internet,sig_other_read_texts,sig_other_remove_ex,sig_other_put_down,sig_other_demand_pw,sig_other_harass_internet,sig_other_internet_sexually,sig_other_rumors_internet,sig_other_threaten_internet
417, , , , , , , , , , , , , , , , , , , ,1,7,6,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
421, , , , , , , , , , , , , , , , , , , ,8,10,9,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
422,2,2,2,2,2,2,3,3,2,3,3,1,1,1,1,1,1,1,1,1,8,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,2,2,2,1,1,1,1,2,1,3,3,3,3,3,3,3,3
424, , , , , , , , , , , , , , , , , , , ,3,10,4,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
425, , , , , , , , , , , , , , , , , , , ,10,10,8,5,3,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
427,3,3,2,3,3,2,3,3,3,2,2,2,1,2,2,2,2,1,2,4,10,7,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,1,2,3,3,3,3,3,3,3,3,3
429, , , , , , , , , , , , , , , , , , , ,10,10,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
430,2,2,2,3,3,3,2,2,2,2,2,2,1,2,2,1,1,1,2,1,10,6,1,2,4,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3
432, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
433, , , , , , , , , , , , , , , , , , , ,3,10,8,1,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
435, , , , , , , , , , , , , , , , , , , ,1,5,1,1,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
438, , , , , , , , , , , , , , , , , , , ,1,10,7,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
439,2,2,2,2,2,2,3,3,2,3,2,2,1,1,2,1,1,2,1,10,10,10,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,2,2,2,3,3,3,3,3,3,1,3,3
441,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,1,10,7,1,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,2,2,2,2,1,2,1,1,1,1,3,3,3,3,3,3,3,3
442, , , , , , , , , , , , , , , , , , , ,4,10,5,1,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
444, , , , , , , , , , , , , , , , , , , ,4,7,5,1,5,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
445, , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
446, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
448,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,1,2,1,1,6,10,9,1,7,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,1,2,1,1,2,1,3,3,2,3,3,3,3,3
449, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
452,3,3,2,3,3,3,3,3,3,2,2,2,1,2,2,1,2,2,2,3,1,2,8,5,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,1,2,2,2,3,3,3,3,3,3,3,3,3
453, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
454, , , , , , , , , , , , , , , , , , , ,1,10,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
455,2,2,1,2,3,2,3,3,2,2,3,2,1,1,2,1,2,1,1,2,9,8,2,1,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
457, , , , , , , , , , , , , , , , , , , ,3,3,10,10,10,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
458,2,2,1,1,2,1,2,3,3,3,1,2,1,1,2,1,2,1,1,8,1,1,8,8,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,2,1,2,2,1,1,3,3,3,3,3,3,3,3,3
459, , , , , , , , , , , , , , , , , , , ,1,10,10,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
461, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
462, , , , , , , , , , , , , , , , , , , ,6,10,8,4,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , 
463,2,2, , , , , , , , , , , , ,2,1,2,2,1,3,1,2,5,4,6,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,2,2,2,2,2, , , ,1,2,3,3,3,2,3,3,3,2,3
464,2,2,2,3,3,2,2,3,2,2,2,1,1,1,1,1,1,1,2,1,10,5,1,5,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,2,2,2,2,1,1,1,2,1,1,1,3,2,1,2,2,2,3
465, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
466, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
467,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,10,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,3,1,3,3,3
468,2,2,2,3,3,3,3,3,2,2,3,2,1,2,2,2,2,2,1,4,10,7,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,2,1,1,1,3,3,3,3,3,3,3,3,3
470, , , , , , , , , , , , , , , , , , , ,1,9,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
471, , , , , , , , , , , , , , , , , , , ,2,10,7,1,5,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
472, , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
473,2,2,2,3,1,2,1,2,2,2,2,1,1,1,2,1,1,1,2,4,10,7,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,1,1,1,2,3,3,3,3,3,3,3,3,3
474,4,4,4,4,2,4,4,4,2,2,2,2,1,2,2,1,2,2,2,3,10,9,5,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
476, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
477, , , , , , , , , , , , , , , , , , , ,1,10,8,1,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
478, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
479, , , , , , , , , , , , , , , , , , , ,6,10,7,6,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
480, , , , , , , , , , , , , , , , , , , ,1,10,3,1,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , 
481, , , , , , , , , , , , , , , , , , , ,6,10,7,1,6,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
482,2,2,2,2,3,2,3,3,1,2,2,1,1,1,2,2,1,1,1,1,10,3,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,2,1,2,2,2,1,1,1,1,1,1,3,3,3,3,1,3,3,3
484, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
486, , , , , , , , , , , , , , , , , , , ,5,4,1,1,1,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , 
487, , , , , , , , , , , , , , , , , , , ,1,10,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
488, , , , , , , , , , , , , , , , , , , ,1,10,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
489, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
491, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
492, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
494, , , , , , , , , , , , , , , , , , , ,5,9,6,2,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
496,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,4,4,3,4,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
497, , , , , , , , , , , , , , , , , , , ,8,10,9,3,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
498,4,4,2,3,3,3,3,3,3,3,2,2,1,2,2,1,2,1,1,1,10,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,1,2,1,1,1,3,3,3,3,3,3,3,3,3
499, , , , , , , , , , , , , , , , , , , ,-1,-1,1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
500, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
501, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
502, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
503, , , , , , , , , , , , , , , , , , , ,4,10,9,4,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
504, , , , , , , , , , , , , , , , , , , ,2,10,9,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
505, , , , , , , , , , , , , , , , , , , ,2,10,3,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
506,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,10,6,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
508,3,2,3,3,3,3,3,3,3,3,3,2,1,1,2,2,2,2,2,1,10,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
509, , , , , , , , , , , , , , , , , , , ,2,10,8,1,6,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , 
510, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
513, , , , , , , , , , , , , , , , , , , ,5,10,5,7,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , 
514, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
515, , , , , , , , , , , , , , , , , , , ,8,10,9,1,7,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
516, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
518, , , , , , , , , , , , , , , , , , , ,5,1,1,6,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , 
519,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,10,7,1,1,8,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,2,2,2,1,2,2,1,1,1,1,1,2,3,2,2,3,3,3,3,2
520, , , , , , , , , , , , , , , , , , , ,3,10,10,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
521, , , , , , , , , , , , , , , , , , , ,5,5,8,5,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
523, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
524,2,2,2,2,3,2,3,2,2,1,2,2,1,2,2,1,1,2,2,3,10,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,2,2,3,3,3,3,3,3,3,3,3
527, , , , , , , , , , , , , , , , , , , ,5,1,2,-1,8,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
528, , , , , , , , , , , , , , , , , , , ,4,10,5,3,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
531, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
532, , , , , , , , , , , , , , , , , , , ,1,10,5,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
535, , , , , , , , , , , , , , , , , , , ,1,10,7,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
537, , , , , , , , , , , , , , , , , , , ,5,4,3,5,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , 
538, , , , , , , , , , , , , , , , , , , ,6,9,6,1,8,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
539, , , , , , , , , , , , , , , , , , , ,3,10,8,5,1,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
542, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
543, , , , , , , , , , , , , , , , , , , ,5,1,6,3,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
544, , , , , , , , , , , , , , , , , , , ,5,10,5,2,5,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
545, , , , , , , , , , , , , , , , , , , ,5,10,7,1,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
546, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
547, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
548,3,3,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,5,8,6,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
549, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
552,2,2,3,3,3,2,2,3,3,3,2,2,1,1,2,1,2,1,1,4,10,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,1,2,2,1,1,1,1,2,3,1,3,3,3,3,3,3,3
553, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
554, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
555, , , , , , , , , , , , , , , , , , , ,1,10,9,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
556, , , , , , , , , , , , , , , , , , , ,1,6,2,10,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
558, , , , , , , , , , , , , , , , , , , ,1,10,8,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
560, , , , , , , , , , , , , , , , , , , ,1,10,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
565,3,3,3,3,3,2,3,3,3,2,3,2,1,1,2,2,2,2,2,1,10,4,1,4,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,3,3,3,3,3
566, , , , , , , , , , , , , , , , , , , ,5,10,10,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
567, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
568, , , , , , , , , , , , , , , , , , , ,3,1,2,5,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
569, , , , , , , , , , , , , , , , , , , ,2,10,6,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
570, , , , , , , , , , , , , , , , , , , ,2,10,4,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
571, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
573,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,4,10,9,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3
574, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
575, , , , , , , , , , , , , , , , , , , ,1,10,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
576, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
577, , , , , , , , , , , , , , , , , , , ,2,-1,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , 
578, , , , , , , , , , , , , , , , , , , ,2,10,8,3,9,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , 
579,3,3, , , , , , , , , , , , ,2,2,2,2,2,3,10,4,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2, , , ,1,2,3,3,3,3,3,3,3,3,3
581, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
582, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
583,2,2,3,3,3,3,4,4,4,1,2,2,1,2,2,1,2,2,2,8,10,9,6,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3
584, , , , , , , , , , , , , , , , , , , ,5,10,4,3,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , 
585, , , , , , , , , , , , , , , , , , , ,1,10,2,4,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
586, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
588, , , , , , , , , , , , , , , , , , , ,1,10,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
589,4,4,2,2,3,2,2,2,2,2,2,1,1,2,2,1,1,1,1,3,1,2,4,5,6,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,2,2,1,2,2,1,1,1,1,1,3,3,3,3,3,3,1,3,3
592, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
595, , , , , , , , , , , , , , , , , , , ,4,3,5,6,9,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
597, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
598,1,1,2,4,3,4,3,3,3,3,3,1,1,2,2,1,2,2,2,5,10,9,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,1,2,2,2,3,3,3,3,3,3,3,3,3
599,2,2,2,2,3,2,2,2,3,2,2,1,1,1,1,1,2,1,1,5,10,7,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,1,2,2,2,1,3,3,3,3,1,3,2,3
600, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
602, , , , , , , , , , , , , , , , , , , ,3,1,2,5,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
604,2,2, , , , , , , , , , , , ,2,2,1,2,1,5,10,10,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,2,2,2, , , ,2,2,1,3,3,1,3,3,3,3,3
605, , , , , , , , , , , , , , , , , , , ,5,10,9,6,8,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
606, , , , , , , , , , , , , , , , , , , ,5,10,7,4,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , 
607, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
609,2,2,2,2,3,2,3,3,2,2,2,1,1,2,2,1,1,2,2,3,1,2,5,4,6,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,1,2,1,1,1,3,3,3,3,3,3,3,3
610,3,2,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,7,10,8,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,2,1,1,2,3,3,1,3,1,3,3,3,3
611, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
613, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
614,4,4,2,2,2,2,2,2,2,2,2,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,2,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1
615, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
616, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
617, , , , , , , , , , , , , , , , , , , ,6,10,9,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1, , , , , , , , , , , , 
618,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,6,3,6,8,4,6,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1
619, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
620,2,2,3,3,3,3,3,3,3,2,2,2,1,1,2,1,2,2,2,1,10,5,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,2,1,1,2,3,3,3,3,3,3,3,3,3
623, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
624, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
