CaseID,hear_frequency,hear_from_you_frequency,sm_feel_connected,sm_feel_closer,sm_feel_jealous,sm_show_care,sm_different,sm_authentic,sm_escape,sm_too_many,sm_support_rel_end,sm_track,sm_post_support,sm_post_affection,sm_findout_upset,closer_text,argument_resolve_text,sig_other_distracted_phone,text_while_together,breakup_text,breakup_inperson,breakup_phone,breakup_sm_message,breakup_friend,breakup_sm_status,brokenup_phonecall,brokenup_inperson,brokenup_text,brokenup_sm,brokenup_email,brokenup_fb_status,brokenup_sm_status,brokenup_image_post,brokenup_drift,brokenup_other,brokenup_never,beendumped_phone,beendumped_inperson,beendumped_text,beendumped_sm,beendumped_email,beendumped_fb_status,beendumped_sm_status,beendumped_image_post,beendumped_drift,beendumped_other,beendumped_never,large_num_texts,texts_pretending,accessed_mobile,modified_sm,sent_pictures_others,tracked_unknowing,blocked_ex,blocked_flirt,untagged_ex,removed_ex_number,blocked_ex_text,sig_other_checked_internet,sig_other_read_texts,sig_other_remove_ex,sig_other_put_down,sig_other_demand_pw,sig_other_harass_internet,sig_other_internet_sexually,sig_other_rumors_internet,sig_other_threaten_internet
44,1,1,2,3,2,3,2,2,2,2,3,1,1,2,1,1,1,1,1,1,10,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,1,2,2,2,3,3,3,3,3,3,3,3,3
45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
46, , , , , , , , , , , , , , , , , , , ,3,1,2,4,5,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
47, , , , , , , , , , , , , , , , , , , ,2,10,7,1,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , 
48, , , , , , , , , , , , , , , , , , , ,1,10,3,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
51, , , , , , , , , , , , , , , , , , , ,1,10,10,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
54,1,1,2,2,2,3,4,4,4,4,4,2,1,2,2,2,1,1,2,1,10,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3
55,2,2,2,3,3,2,3,2,4,2,2,2,2,2,2,1,2,2,1,3,1,2,4,5,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
57,4,4,2,3,3,3,2,2,3,2,3,1,1,1,2,2,1,1,1,5,10,4,3,5,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,1,2,2,1,1,1,1,1,3,2,3,3,3,3,3,3,3
58,3,3,1,1,3,1,3,4,4,2,2,1,1,1,2,1,2, , ,4,6,5,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2, , ,3,3,3,3,3,3,3,3,3
59, , , , , , , , , , , , , , , , , , , ,7,10,5,6,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , 
60, , , , , , , , , , , , , , , , , , , ,1,10,7,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
63, , , , , , , , , , , , , , , , , , , ,3,9,6,5,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
65, , , , , , , , , , , , , , , , , , , ,2,10,8,1,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
66, , , , , , , , , , , , , , , , , , , ,2,10,3,3,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
67, , , , , , , , , , , , , , , , , , , ,10,10,10,10,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
72,1,1,2,2,1,1,2,1,2,1,1,1,2,1,1,1,2,2,1,4,9,2,3,1,6,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1
73,3,3,1,2,3,3,3,3,3,2,2,2,1,2,2,1,2,2,2,1,10,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
78, , , , , , , , , , , , , , , , , , , ,3,10,6,4,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
79, , , , , , , , , , , , , , , , , , , ,6,4,2,3,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
81, , , , , , , , , , , , , , , , , , , ,5,10,1,6,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , 
